2020-03-01 at 10:52:22 | INFO | pyAPIStart Up ....
2020-03-01 at 10:52:22 | INFO | Api prefix is: [ /api/v2 ]
2020-03-01 at 10:52:22 | DEBUG | Connect use uri [ clickhouse://default:passw0rd@192.168.10.12:28123/test ]
2020-03-01 at 10:54:25 | INFO | pyAPIStart Up ....
2020-03-01 at 10:54:25 | INFO | Api prefix is: [ /api/v2 ]
2020-03-01 at 10:54:25 | DEBUG | Connect use uri [ clickhouse://default:passw0rd@192.168.10.12:28123/test ]
2020-03-01 at 10:54:27 | DEBUG | Metafile does not exists, generate it from database ...
2020-03-01 at 10:54:27 | DEBUG | MetaData(bind=Engine(clickhouse://default:***@192.168.10.12:28123/test))
2020-03-01 at 10:54:27 | DEBUG | metadata exists ....
2020-03-01 at 10:54:30 | DEBUG | Read Schema: [ test ]
2020-03-01 at 10:54:42 | INFO | pyAPIStart Up ....
2020-03-01 at 10:54:42 | INFO | Api prefix is: [ /api/v2 ]
2020-03-01 at 10:54:43 | DEBUG | Connect use uri [ clickhouse://default:passw0rd@192.168.10.12:28123/test ]
2020-03-01 at 10:54:45 | DEBUG | Metafile does not exists, generate it from database ...
2020-03-01 at 10:54:45 | DEBUG | MetaData(bind=Engine(clickhouse://default:***@192.168.10.12:28123/test))
2020-03-01 at 10:54:45 | DEBUG | metadata exists ....
2020-03-01 at 10:54:47 | DEBUG | Read Schema: [ test ]
2020-03-01 at 10:58:22 | INFO | pyAPIStart Up ....
2020-03-01 at 10:58:22 | INFO | Api prefix is: [ /api/v2 ]
2020-03-01 at 10:58:22 | DEBUG | Connect use uri [ clickhouse://default:passw0rd@192.168.10.12:28123/test ]
2020-03-01 at 10:58:26 | DEBUG | Metafile does not exists, generate it from database ...
2020-03-01 at 10:58:26 | DEBUG | MetaData(bind=Engine(clickhouse://default:***@192.168.10.12:28123/test))
2020-03-01 at 10:58:26 | DEBUG | metadata exists ....
2020-03-01 at 10:58:28 | DEBUG | Read Schema: [ test ]
2020-03-01 at 10:58:53 | DEBUG | Access '/token' : run in login_for_access_token(), input data username: [zhangjun] and password: [passw0rd]
2020-03-01 at 10:58:53 | DEBUG | authenticate_user with username: [zhangjun] and password: [passw0rd]
2020-03-01 at 10:58:53 | DEBUG | verify_password with hashed_password: [$2b$12$bBi.x9FJ/RkRTNH8NSLu9eiNZpgpobZLb4Jj3Zug2GUiiFisft5iC]
2020-03-01 at 10:58:53 | DEBUG | create_access_token with encoded_jwt: [b'eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ6aGFuZ2p1biIsImV4cCI6MTU4MzAzMzMzM30.477gjxc5iil_k1iWM4vjWCVomHvfhhYZbKI1wt_X5R4']
2020-03-01 at 10:58:58 | DEBUG | Access '/_schema' : run in get_schema()
2020-03-01 at 10:59:26 | DEBUG | Access '/_table/{table_name}' : run in get_data(), input data table_name: [bank_dist]
2020-03-01 at 10:59:26 | DEBUG | fieldlist: [*]
2020-03-01 at 10:59:26 | DEBUG | filter: [age=:age]
2020-03-01 at 10:59:26 | DEBUG | filterparam: [{'age':59}]
2020-03-01 at 10:59:26 | DEBUG | limit: [20]
2020-03-01 at 10:59:26 | DEBUG | offset: [0]
2020-03-01 at 10:59:26 | DEBUG | order: [None]
2020-03-01 at 10:59:26 | DEBUG | group: [None]
2020-03-01 at 10:59:26 | DEBUG | count_only: [False]
2020-03-01 at 10:59:26 | DEBUG | include_count: [False]
2020-03-01 at 10:59:26 | DEBUG | query_table():
2020-03-01 at 10:59:26 | DEBUG | tablename: bank_dist
2020-03-01 at 10:59:26 | DEBUG | fieldlist: *
2020-03-01 at 10:59:26 | DEBUG | filter: age=:age
2020-03-01 at 10:59:26 | DEBUG | limit: 20
